"participant","meta_I","meta_Ir1","meta_Ir1_acc","meta_Ir2","RMI"
"sim00_d0.5_meta0.5_r4_n400",0.0182309927196996,1.1521610159387,0.960153900635088,0.0188961455754698,0.0986527990310418
"sim01_d1.0_meta1.0_r4_n400",0.0814959203102479,1.58109869972339,1.58109869972339,0.0912431057437121,0.298330301904813
"sim02_d1.5_meta1.5_r4_n400",0.125221607786465,1.36251070051602,1.36251070051602,0.1627961195987,0.39230708338175
"sim03_d2.0_meta2.0_r4_n400",0.124255355123737,1.0651536423885,1.0651536423885,0.19589071962529,0.395327960251898
"sim04_d1.0_meta0.5_r4_n400",0.0290190700840697,0.562997678932094,0.562997678932097,0.0324898482057146,0.106229464078938
"sim05_d1.0_meta1.8_r4_n400",0.0962008497631247,1.86638837740243,1.60853871594368,0.110331083785817,0.335277772490143
"sim06_d1.5_meta1.5_r2_n400",0.0610465466861037,0.664234987552661,0.664234987552661,0.0793644251265775,0.191252876434811
"sim07_d1.5_meta1.5_r6_n400",0.123737434589087,1.34636171553976,1.34636171553976,0.160866599273761,0.387657313517035
"sim08_d1.5_meta1.5_r4_n150",0.0964995807623223,1.05869297091081,1.05869297091081,0.124974341703992,0.302675593892139
"sim09_d1.5_meta1.5_r4_n1200",0.0986555483204836,1.08234600319661,1.08234600319661,0.127766484676924,0.309437890224658
"sim10_d0.2_meta0.2_r4_n400",0.00596193709469672,2.27713998216907,0.809210409990895,0.00604160646146213,0.0489432702786506
"sim11_d2.5_meta2.5_r4_n400",0.141690291601917,1.14407200255482,1.14407200255482,0.292357273099904,0.515898262044553
