participant,meta_I,meta_Ir1,meta_Ir1_acc,meta_Ir2,RMI
sim00_d0.5_meta0.5_r4_n400,0.02392820662349498,1.5122131458987655,1.1039442815170464,0.025086609800148863,0.12109427656904141
sim01_d1.0_meta1.0_r4_n400,0.08100892734743464,1.5716505710693809,1.4599950555980163,0.09230213757439655,0.2890863709288664
sim02_d1.5_meta1.5_r4_n400,0.13599100831669966,1.479690344828016,1.4954688690733993,0.17758549587746794,0.42807837631391316
sim03_d2.0_meta2.0_r4_n400,0.13609701184646172,1.166663825007086,1.1835541383026587,0.21409056833841755,0.4343299978761464
sim04_d1.0_meta0.5_r4_n400,0.037496059870848635,0.727459378101951,0.7284756000719763,0.04226893183144587,0.13715324897852865
sim05_d1.0_meta1.8_r4_n400,0.09803730431935889,1.9020173499989246,1.5730287281183988,0.11413210732760333,0.3373782094070279
sim06_d1.5_meta1.5_r2_n400,0.06487190561093356,0.7058579355448842,0.71213938742505,0.08485338917074159,0.20422426011758207
sim07_d1.5_meta1.5_r6_n400,0.13464692825439567,1.46506568459875,1.4513058620970547,0.17753345249235528,0.42277450612114037
sim08_d1.5_meta1.5_r4_n150,0.11192359369993812,1.2279091887556495,1.2222464107810005,0.14878332370170866,0.35384907109437663
sim09_d1.5_meta1.5_r4_n1200,0.10258626285148556,1.1254697122498765,1.1358745128274883,0.13278536122001344,0.3226034142069705
sim10_d0.2_meta0.2_r4_n400,0.01103746694373299,4.21571997351523,1.0486284238829673,0.011304765240142449,0.07535164979133625
sim11_d2.5_meta2.5_r4_n400,0.14850046056771415,1.1990604111355587,1.206640014915876,0.3055492204006883,0.5407102592070963
