"participant","meta_I","meta_Ir1","meta_Ir1_acc","meta_Ir2","RMI","debiased.meta_I","debiased.meta_Ir1","debiased.meta_Ir1_acc","debiased.meta_Ir2","debiased.RMI"
"sim00_d0.5_meta0.5_r4_n400",0.0182309927196996,1.1521610159387,0.960153900635088,0.0188961455754698,0.0986527990310418,0.02453253818778,1.81258617161901,1.15379437382096,0.0256890848394271,0.125204179643277
"sim01_d1.0_meta1.0_r4_n400",0.0814959203102479,1.58109869972339,1.58109869972339,0.0912431057437121,0.298330301904813,0.0805750237201095,1.60421798096742,1.46196537900512,0.0917106343593148,0.288169107822137
"sim02_d1.5_meta1.5_r4_n400",0.125221607786465,1.36251070051602,1.36251070051602,0.1627961195987,0.39230708338175,0.135309041546721,1.48647569013536,1.48085719932771,0.177233280838328,0.425786813210544
"sim03_d2.0_meta2.0_r4_n400",0.124255355123737,1.0651536423885,1.0651536423885,0.19589071962529,0.395327960251898,0.133316712933025,1.15155944049366,1.15296369943457,0.210913475479333,0.426019540242914
"sim04_d1.0_meta0.5_r4_n400",0.0290190700840697,0.562997678932094,0.562997678932097,0.0324898482057146,0.106229464078938,0.0370259227829832,0.744022388345305,0.724158360314448,0.0417078114164525,0.135734366305543
"sim05_d1.0_meta1.8_r4_n400",0.0962008497631247,1.86638837740243,1.60853871594368,0.110331083785817,0.335277772490143,0.0977829685214621,1.93846088230089,1.55960033949153,0.113922363797692,0.335886365657178
"sim06_d1.5_meta1.5_r2_n400",0.0610465466861037,0.664234987552661,0.664234987552661,0.0793644251265775,0.191252876434811,0.0643385170013618,0.711499041903204,0.709661729206457,0.0839460712392608,0.202651319186498
"sim07_d1.5_meta1.5_r6_n400",0.123737434589087,1.34636171553976,1.34636171553976,0.160866599273761,0.387657313517035,0.134039029415208,1.47459813152713,1.43833980741965,0.177085860297851,0.420609514462478
"sim08_d1.5_meta1.5_r4_n150",0.0964995807623223,1.05869297091081,1.05869297091081,0.124974341703992,0.302675593892139,0.112024646243919,1.26997211904309,1.22004596725678,0.14949201700723,0.35442068353421
"sim09_d1.5_meta1.5_r4_n1200",0.0986555483204836,1.08234600319661,1.08234600319661,0.127766484676924,0.309437890224658,0.102083326587363,1.12616677562028,1.12712653615504,0.132286669242922,0.320877970996064
"sim10_d0.2_meta0.2_r4_n400",0.00596193709469672,2.27713998216907,0.809210409990895,0.00604160646146213,0.0489432702786506,0.0109203794973085,Inf,1.04193969408093,0.0111809168180439,0.0748109814722424
"sim11_d2.5_meta2.5_r4_n400",0.141690291601917,1.14407200255482,1.14407200255482,0.292357273099904,0.515898262044553,0.147654096280294,1.20240207877968,1.20168910186761,0.306863348241865,0.541117113468021
