measure,r_mean,py_mean,pearson_r,mae,max_abs_diff,n
meta_I,0.08350126123682951,0.09051042802104149,0.9956974665859185,0.00709033227801419,0.015424012937615791,12
meta_Ir1,1.263596481402072,1.5248981267253392,0.8882285763822515,0.26287633343226896,1.93857999134616,12
meta_Ir1_acc,1.1037809523236943,1.1934417737175778,0.9640882806362173,0.11576309338565932,0.2394180138920723,12
meta_Ir2,0.11691814607311035,0.12718961358126077,0.9974748291594802,0.010271467508150426,0.023808981997716597,12
RMI,0.2818325489608692,0.3055528033843355,0.9932898940021381,0.025260909586124033,0.05117347720223758,12
