participant,meta_I_r,meta_Ir1_r,meta_Ir1_acc_r,meta_Ir2_r,RMI_r,meta_I_py,meta_Ir1_py,meta_Ir1_acc_py,meta_Ir2_py,RMI_py
sim00_d0.5_meta0.5_r4_n400,0.0182309927196996,1.1521610159387,0.960153900635088,0.0188961455754698,0.0986527990310418,0.0182309927196996,1.152161015963665,0.960153900641286,0.0188961455754697,0.0986527990310418
sim01_d1.0_meta1.0_r4_n400,0.0814959203102479,1.58109869972339,1.58109869972339,0.0912431057437121,0.298330301904813,0.0814959203102474,1.5810986997284466,1.5810986997284466,0.0912431057437116,0.2983303019048112
sim02_d1.5_meta1.5_r4_n400,0.125221607786465,1.36251070051602,1.36251070051602,0.1627961195987,0.39230708338175,0.1252216077864649,1.3625107005160684,1.3625107005160684,0.1627961195986999,0.3923070833817497
sim03_d2.0_meta2.0_r4_n400,0.124255355123737,1.0651536423885,1.0651536423885,0.19589071962529,0.395327960251898,0.1242553551237374,1.0651536423872048,1.0651536423872048,0.1958907196252895,0.395327960251898
sim04_d1.0_meta0.5_r4_n400,0.0290190700840697,0.562997678932094,0.562997678932097,0.0324898482057146,0.106229464078938,0.02901907008407,0.5629976789339045,0.5629976789339045,0.0324898482057149,0.1062294640789387
sim05_d1.0_meta1.8_r4_n400,0.0962008497631247,1.86638837740243,1.60853871594368,0.110331083785817,0.335277772490143,0.0962008497631242,1.8663883774084051,1.6085387159373157,0.1103310837858164,0.3352777724901415
sim06_d1.5_meta1.5_r2_n400,0.0610465466861037,0.664234987552661,0.664234987552661,0.0793644251265775,0.191252876434811,0.0610465466861032,0.6642349875526818,0.6642349875526818,0.0793644251265769,0.1912528764348095
sim07_d1.5_meta1.5_r6_n400,0.123737434589087,1.34636171553976,1.34636171553976,0.160866599273761,0.387657313517035,0.1237374345890871,1.346361715539811,1.346361715539811,0.1608665992737611,0.3876573135170348
sim08_d1.5_meta1.5_r4_n150,0.0964995807623223,1.05869297091081,1.05869297091081,0.124974341703992,0.302675593892139,0.0964995807623223,1.0586929709101096,1.0586929709101096,0.1249743417039923,0.3026755938921389
sim09_d1.5_meta1.5_r4_n1200,0.0986555483204836,1.08234600319661,1.08234600319661,0.127766484676924,0.309437890224658,0.0986555483204835,1.0823460031958896,1.082346003195891,0.1277664846769238,0.3094378902246572
sim10_d0.2_meta0.2_r4_n400,0.0059619370946967,2.27713998216907,0.809210409990895,0.0060416064614621,0.0489432702786506,0.0059619370946967,2.277139983211927,0.8092104100595712,0.0060416064614621,0.0489432702786505
sim11_d2.5_meta2.5_r4_n400,0.141690291601917,1.14407200255482,1.14407200255482,0.292357273099904,0.515898262044553,0.1416902916019178,1.1440720025554594,1.1440720025554594,0.2923572730999049,0.5158982620445547
