participant,meta_I_r,meta_Ir1_r,meta_Ir1_acc_r,meta_Ir2_r,RMI_r,debiased.meta_I,debiased.meta_Ir1,debiased.meta_Ir1_acc,debiased.meta_Ir2,debiased.RMI,meta_I_py,meta_Ir1_py,meta_Ir1_acc_py,meta_Ir2_py,RMI_py
sim00_d0.5_meta0.5_r4_n400,0.0182309927196996,1.1521610159387,0.960153900635088,0.0188961455754698,0.0986527990310418,0.02453253818778,1.81258617161901,1.15379437382096,0.0256890848394271,0.125204179643277,0.0239282066234949,1.5122131458987655,1.1039442815170464,0.0250866098001488,0.1210942765690414
sim01_d1.0_meta1.0_r4_n400,0.0814959203102479,1.58109869972339,1.58109869972339,0.0912431057437121,0.298330301904813,0.0805750237201095,1.60421798096742,1.46196537900512,0.0917106343593148,0.288169107822137,0.0810089273474346,1.5716505710693809,1.4599950555980163,0.0923021375743965,0.2890863709288664
sim02_d1.5_meta1.5_r4_n400,0.125221607786465,1.36251070051602,1.36251070051602,0.1627961195987,0.39230708338175,0.135309041546721,1.48647569013536,1.48085719932771,0.177233280838328,0.425786813210544,0.1359910083166996,1.479690344828016,1.4954688690733993,0.1775854958774679,0.4280783763139131
sim03_d2.0_meta2.0_r4_n400,0.124255355123737,1.0651536423885,1.0651536423885,0.19589071962529,0.395327960251898,0.133316712933025,1.15155944049366,1.15296369943457,0.210913475479333,0.426019540242914,0.1360970118464617,1.166663825007086,1.1835541383026589,0.2140905683384175,0.4343299978761464
sim04_d1.0_meta0.5_r4_n400,0.0290190700840697,0.562997678932094,0.562997678932097,0.0324898482057146,0.106229464078938,0.0370259227829832,0.744022388345305,0.724158360314448,0.0417078114164525,0.135734366305543,0.0374960598708486,0.727459378101951,0.7284756000719763,0.0422689318314458,0.1371532489785286
sim05_d1.0_meta1.8_r4_n400,0.0962008497631247,1.86638837740243,1.60853871594368,0.110331083785817,0.335277772490143,0.0977829685214621,1.93846088230089,1.55960033949153,0.113922363797692,0.335886365657178,0.0980373043193588,1.9020173499989248,1.5730287281183988,0.1141321073276033,0.3373782094070279
sim06_d1.5_meta1.5_r2_n400,0.0610465466861037,0.664234987552661,0.664234987552661,0.0793644251265775,0.191252876434811,0.0643385170013618,0.711499041903204,0.709661729206457,0.0839460712392608,0.202651319186498,0.0648719056109335,0.7058579355448842,0.71213938742505,0.0848533891707415,0.204224260117582
sim07_d1.5_meta1.5_r6_n400,0.123737434589087,1.34636171553976,1.34636171553976,0.160866599273761,0.387657313517035,0.134039029415208,1.47459813152713,1.43833980741965,0.177085860297851,0.420609514462478,0.1346469282543956,1.46506568459875,1.4513058620970547,0.1775334524923552,0.4227745061211403
sim08_d1.5_meta1.5_r4_n150,0.0964995807623223,1.05869297091081,1.05869297091081,0.124974341703992,0.302675593892139,0.112024646243919,1.26997211904309,1.22004596725678,0.14949201700723,0.35442068353421,0.1119235936999381,1.2279091887556497,1.2222464107810005,0.1487833237017086,0.3538490710943766
sim09_d1.5_meta1.5_r4_n1200,0.0986555483204836,1.08234600319661,1.08234600319661,0.127766484676924,0.309437890224658,0.102083326587363,1.12616677562028,1.12712653615504,0.132286669242922,0.320877970996064,0.1025862628514855,1.1254697122498765,1.1358745128274883,0.1327853612200134,0.3226034142069705
sim10_d0.2_meta0.2_r4_n400,0.0059619370946967,2.27713998216907,0.809210409990895,0.0060416064614621,0.0489432702786506,0.0109203794973085,inf,1.04193969408093,0.0111809168180439,0.0748109814722424,0.0110374669437329,4.21571997351523,1.0486284238829673,0.0113047652401424,0.0753516497913362
sim11_d2.5_meta2.5_r4_n400,0.141690291601917,1.14407200255482,1.14407200255482,0.292357273099904,0.515898262044553,0.147654096280294,1.20240207877968,1.20168910186761,0.306863348241865,0.541117113468021,0.1485004605677141,1.1990604111355587,1.206640014915876,0.3055492204006883,0.5407102592070963
