participant,meta_I,meta_Ir1,meta_Ir1_acc,meta_Ir2,RMI
sim00_d0.5_meta0.5_r4_n400,0.018230992719699635,1.152161015963665,0.960153900641286,0.01889614557546977,0.09865279903104185
sim01_d1.0_meta1.0_r4_n400,0.08149592031024744,1.5810986997284466,1.5810986997284466,0.09124310574371167,0.29833030190481125
sim02_d1.5_meta1.5_r4_n400,0.12522160778646496,1.3625107005160684,1.3625107005160684,0.16279611959869997,0.39230708338174974
sim03_d2.0_meta2.0_r4_n400,0.12425535512373742,1.0651536423872048,1.0651536423872048,0.19589071962528953,0.395327960251898
sim04_d1.0_meta0.5_r4_n400,0.02901907008407001,0.5629976789339045,0.5629976789339045,0.03248984820571493,0.10622946407893871
sim05_d1.0_meta1.8_r4_n400,0.09620084976312426,1.8663883774084054,1.6085387159373155,0.11033108378581649,0.33527777249014157
sim06_d1.5_meta1.5_r2_n400,0.06104654668610321,0.6642349875526818,0.6642349875526818,0.07936442512657692,0.19125287643480957
sim07_d1.5_meta1.5_r6_n400,0.12373743458908715,1.346361715539811,1.346361715539811,0.16086659927376112,0.3876573135170348
sim08_d1.5_meta1.5_r4_n150,0.09649958076232235,1.0586929709101096,1.0586929709101096,0.12497434170399231,0.3026755938921389
sim09_d1.5_meta1.5_r4_n1200,0.09865554832048351,1.0823460031958896,1.082346003195891,0.12776648467692384,0.3094378902246572
sim10_d0.2_meta0.2_r4_n400,0.005961937094696723,2.277139983211927,0.8092104100595712,0.0060416064614621295,0.04894327027865059
sim11_d2.5_meta2.5_r4_n400,0.14169029160191782,1.1440720025554594,1.1440720025554594,0.29235727309990495,0.5158982620445547
